Iteration,AverageReturn
0,23.8815
1,29.6213
2,42.7863
3,49.6733
4,86.1186
5,125.2
6,174.379
7,178.724
8,195.308
9,192.346
10,194.269
11,189.37
12,195.269
13,194.462
14,197.423
15,199.885
16,199.385
17,200.0
18,198.731
19,200.0
20,198.885
21,200.0
22,200.0
23,200.0
24,200.0
25,200.0
26,200.0
27,200.0
28,200.0
29,194.885
30,199.269
31,199.885
32,200.0
33,200.0
34,199.731
35,200.0
36,200.0
37,196.269
38,198.038
39,200.0
40,200.0
41,200.0
42,200.0
43,199.769
44,199.808
45,197.615
46,200.0
47,200.0
48,200.0
49,200.0
50,199.423
51,199.192
52,200.0
53,199.923
54,199.654
55,200.0
56,199.769
57,199.731
58,199.923
59,200.0
60,200.0
61,199.731
62,200.0
63,200.0
64,199.769
65,199.885
66,200.0
67,199.808
68,200.0
69,200.0
70,199.63
71,199.192
72,199.654
73,200.0
74,200.0
75,199.885
76,199.385
77,198.385
78,199.808
79,200.0
80,200.0
81,200.0
82,200.0
83,199.231
84,200.0
85,200.0
86,199.885
87,200.0
88,200.0
89,200.0
90,200.0
91,200.0
92,199.269
93,200.0
94,200.0
95,196.269
96,199.731
97,200.0
98,197.962
99,199.731
100,200.0
101,200.0
102,200.0
103,200.0
104,200.0
105,200.0
106,200.0
107,200.0
108,200.0
109,200.0
110,199.885
111,199.923
112,200.0
113,200.0
114,200.0
115,200.0
116,200.0
117,200.0
118,200.0
119,200.0
120,200.0
121,200.0
122,200.0
123,200.0
124,200.0
125,200.0
126,200.0
127,200.0
128,200.0
129,200.0
130,200.0
131,200.0
132,200.0
133,200.0
134,200.0
135,200.0
136,200.0
137,200.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,200.0
145,200.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,200.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
208,200.0
209,200.0
210,200.0
211,200.0
212,200.0
213,200.0
214,200.0
215,200.0
216,200.0
217,200.0
218,200.0
219,200.0
220,200.0
221,200.0
222,200.0
223,200.0
224,200.0
225,200.0
226,200.0
227,200.0
228,200.0
229,200.0
230,200.0
231,200.0
